Date,Open,High,Low,Close,Volume,AdjustedClose
20190827,1205.000,1215.000,1170.000,1170.000,3987400,585.000
20190828,1170.000,1200.000,1170.000,1195.000,2996400,597.500
20190829,1195.000,1200.000,1175.000,1175.000,1995000,587.500
20190830,1180.000,1280.000,1175.000,1280.000,16620200,640.000
20190902,1280.000,1290.000,1235.000,1265.000,5776800,632.500
20190903,1265.000,1300.000,1240.000,1255.000,3620800,627.500
20190904,1255.000,1270.000,1250.000,1250.000,1450000,625.000
20190905,1255.000,1275.000,1215.000,1230.000,4313600,615.000
20190906,1235.000,1260.000,1210.000,1220.000,3366400,610.000
20190909,1230.000,1235.000,1215.000,1230.000,3133000,615.000
20190910,1230.000,1270.000,1185.000,1205.000,5860500,602.500
20190911,1205.000,1220.000,1190.000,1210.000,4823200,605.000
20190912,1215.000,1220.000,1190.000,1190.000,2427600,595.000
20190913,1205.000,1210.000,1120.000,1200.000,7332700,600.000
20190916,1200.000,1200.000,1155.000,1155.000,4543900,577.500
20190917,1155.000,1180.000,1130.000,1155.000,3713500,577.500
20190918,1160.000,1200.000,1160.000,1185.000,2303000,592.500
20190919,1190.000,1195.000,1165.000,1165.000,848500,582.500
20190920,1170.000,1190.000,1140.000,1165.000,2179600,582.500
20190923,1165.000,1165.000,1135.000,1135.000,3887700,567.500
20190924,1145.000,1145.000,1100.000,1100.000,4162000,550.000
20190925,1100.000,1180.000,1095.000,1180.000,5408100,590.000
20190926,1180.000,1200.000,1180.000,1195.000,2535100,597.500
20190927,1195.000,1200.000,1170.000,1190.000,2703000,595.000
20190930,1200.000,1245.000,1155.000,1230.000,12655900,615.000
20191001,1230.000,1240.000,1210.000,1220.000,3711400,610.000
20191002,1220.000,1225.000,1200.000,1205.000,3526800,602.500
20191003,1200.000,1215.000,1160.000,1200.000,2081100,600.000
20191004,1200.000,1205.000,1180.000,1200.000,3558900,600.000
20191007,1200.000,1205.000,1175.000,1200.000,1473300,600.000
20191008,1200.000,1200.000,1170.000,1170.000,1032200,585.000
20191009,1180.000,1180.000,1160.000,1165.000,363800,582.500
20191010,1165.000,1185.000,1160.000,1160.000,720100,580.000
20191011,1170.000,1200.000,1160.000,1200.000,1451000,600.000
20191014,1200.000,1210.000,1185.000,1185.000,1291300,592.500
20191015,1185.000,1200.000,1180.000,1185.000,1241100,592.500
20191016,1185.000,1195.000,1170.000,1195.000,1460300,597.500
20191017,1195.000,1200.000,1140.000,1145.000,6008900,572.500
20191018,1145.000,1165.000,1135.000,1140.000,4370600,570.000
20191021,1150.000,1150.000,1100.000,1110.000,6327200,555.000
20191022,1110.000,1150.000,1105.000,1120.000,8826800,560.000
20191023,1120.000,1155.000,1115.000,1155.000,6485200,577.500
20191024,1155.000,1190.000,1150.000,1185.000,10968800,592.500
20191025,1190.000,1245.000,1185.000,1225.000,14208700,612.500
20191028,1225.000,1280.000,1225.000,1235.000,14601700,617.500
20191029,1235.000,1250.000,1225.000,1230.000,5517200,615.000
20191030,1230.000,1235.000,1220.000,1235.000,3611600,617.500
